AK.	Amarakośa
AV.	[Atharvaveda— Roth & Whitneyʼs edition]
Ait. Br.	Aitareya Brāhmaṇa, Aufrecht, 1879
Anukramaṇikā	Rig-Veda Anukramaṇikā
Aufr.	[Aufrechtʼs edition of Rig-Veda]
Aufr. in Zeitschr. der morg. G.	Erklärung vedischer Wörter— Aufrechtʼs Article in ZDMG
Aufrecht	[Aufrechtʼs edition of Rig-Veda]
Ausgabe von Ro. Whi.	[Roth & Whitneyʼs edition of Atharvaveda]
BR	(Petersburger) Sanskrit-Wörterbuch— Böhtlingk und Roth
BR.	(Petersburger) Sanskrit-Wörterbuch— Böhtlingk und Roth
Be.	Benfey
Be. SV. gl.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Be. SV. gloss.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Be. vollst. Gramm.	Vollständige Grammatik der Sanskrit Sprache— Benfey, 1852
Be., Or. u. Occ.	Uebersetzung d. Rig-Veda (Hymn. 1-35)— Benfeyʼs Article in Orient und Occident
Benf. in Or. und Occ.	Sanskritisch Sarvátâti, zendisch haurvatât, lateinisch sălût.— Benfeyʼs Article in Orient und Occident
Benfey	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Benfey (S. V. glo.)	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Benfey Or. und Occ.	Uebersetzung d. Rig-Veda (Hymn. 1-35)— Benfeyʼs Article in Orient und Occident
Benfey SV.	Die Hymnen des Sâma-Veda— Benfey, 1848
Benfey in Gött. gel. Anz.	Berichtigung.— Benfeyʼs correction in Göttingische Gelehrte Anzeigen
Boll.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Boll. Or. u. Occ.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollens.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen (O. u. O.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen O. und O.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen in Orient und Occ.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
C.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Ch. 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Chamb. 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Chambers 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Cod. Chambers 60	(Codice) Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Cod. Chambers 61	(Codice) Chambers 61 [Rigveda Padapāṭha Aṣṭakas 5-8, Chambersʼ Manuscripts collection No. 61]
Cu.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
