Ait. Br.	Aitareya Brāhmaṇa, Aufrecht, 1879
AK.	Amarakośa
Anukramaṇikā	Rig-Veda Anukramaṇikā
Aufr.	[Aufrechtʼs edition of Rig-Veda]
Aufr. in Ku.	ὕμνος.— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Z.	Einige seltnere suffixe.— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Zeitschr.	Lateinische etymologieen.— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Zeitschr. der morg. G.	Erklärung vedischer Wörter— Aufrechtʼs Article in ZDMG
Aufr. Ku.	Auhns.— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufrecht	[Aufrechtʼs edition of Rig-Veda]
Aufrecht in Kuhnʼs Zeitschr.	Panzerbeiter, quaestiones umbricae.— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Ausgabe von Ro. Whi.	[Roth & Whitneyʼs edition of Atharvaveda]
AV.	[Atharvaveda— Roth & Whitneyʼs edition]
Be.	Benfey
Be. SV. gl.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Be. SV. gloss.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Be. vollst. Gramm.	Vollständige Grammatik der Sanskrit Sprache— Benfey, 1852
Be., Or. u. Occ.	Uebersetzung d. Rig-Veda (Hymn. 1-35)— Benfeyʼs Article in Orient und Occident
Benf. in Or. und Occ.	Sanskritisch Sarvátâti, zendisch haurvatât, lateinisch sălût.— Benfeyʼs Article in Orient und Occident
Benfey	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Benfey (S. V. glo.)	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Benfey in Gött. gel. Anz.	Berichtigung.— Benfeyʼs correction in Göttingische Gelehrte Anzeigen
Benfey in Ku.	Πεϱνα in πέϱνημι und sanskritisch paṇ, paṇi und verwandts.— Benfeyʼs Article in Kuhnʼs Zeitschrift
Benfey Or. und Occ.	Uebersetzung d. Rig-Veda (Hymn. 1-35)— Benfeyʼs Article in Orient und Occident
Benfey SV.	Die Hymnen des Sâma-Veda— Benfey, 1848
Boll.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Boll. Or. u. Occ.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollens.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen in Orient und Occ.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen O. und O.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
Bollensen (O. u. O.	Zur Herstellung des Veda.— Bollensenʼs Article in Orient und Occident
BR	(Petersburger) Sanskrit-Wörterbuch— Böhtlingk und Roth
BR.	(Petersburger) Sanskrit-Wörterbuch— Böhtlingk und Roth
Bugge in Ku.	Zur etymologischen wortforschung.— Baggeʼs Article in Kuhnʼs Zeitschrift
Bugge in Ku. Zeitschr.	Zur etymologischen wortforschung.— Baggeʼs Article in Kuhnʼs Zeitschrift
C.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Ch. 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Chamb. 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Chambers 60	Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Cod. Chambers 60	(Codice) Chambers 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Cod. Chambers 61	(Codice) Chambers 61 [Rigveda Padapāṭha Aṣṭakas 5-8, Chambersʼ Manuscripts collection No. 61]
Cu.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Curt.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Curtius	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Delbr.	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Delbr., Gebr. des Co. und Opt.	Der Gebrauch des Conjunctivs und Optativs im Sanskrit und Griechischen— Delbrück, 1871
Delbrück: das altindische Verbum	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Deutsche Pflanzennamen vom Verf.	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Dhātup.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
dhātupāṭha	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Dhātupāṭha Westerg.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Druckfehler der Aufrechtʼschen Ausgabe	[Misprint in Aufrechtʼs edition]
F.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fi.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fi. in Ku. Z.	Etymologische beiträge.— Fickʼs Article in Kuhnʼs Zeitschrift
Fick	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Glosse des Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Goldschmidt in Beitr.	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Goldschmidt in Beiträge	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Gr. gr.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Hom.	Odyssey— Homer
Homer	Odyssey & Iliad— Homer
Iliad— Homer	Iliad of Homer
J. Grimm	SCADO— Jacob Grimmʼs Article in Kuhnʼs Zeitschrift
Jenaer Literaturzeitung 1874	Jenaer Literaturzeitung 1874 [Jena University Newspaper, 1874]
Johannes Schmidt: Die Wurzel ak	Die Wurzel ak im Indogermanischen— Dr. Johannes Schmidt, 1865
Justi	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Handb. d. Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zendspr.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Kir.	Kirātārjunīya, Calcutta ed., 1814
Ku.	Kuhnʼs Zeitschrift
Ku. Beitr.	Wechsel von am und u im sanskrit— Kuhnʼs Article in Beiträge zur vergleichenden Sprachforschung
Ku. in Zeitschr.	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Z.	Kuhnʼs Zeitschrift
Ku. Zeitschr.	Kuhnʼs Zeitschrift
Kuhn in Haupt Zeitschr.	Zur mythologie— Kuhnʼs Article in Hauptʼs Zeitschrift (Zeitschrift für Deutsches Altertum)
Kuhn in Zeitschr.	Die neutra auf as— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhn Z.	Kuhnʼs Zeitschrift
Kuhn Ztschr.	Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr.	Kuhnʼs Zeitschrift
Lottner	Ueber die stellung der Italer innerhalb des indoeuropäischen stammes (schlufs)— Lottnerʼs Article in Kuhnʼs Zeitschrift
Lottner in Ku. Z.	Griechische ableitungen vom stamme des relativums— Lottnerʼs Article in Kuhnʼs Zeitschrift
M. Müller	Max Müllerʼs edition of Rig-Veda
Mah.	Mahābhārata, Calcutta ed., 1834—9
Max Müller	Oxford Essays— Max Müller, 1856
Max Müller the sixth hymn	The Sixth Hymn of the First Book of the Rig Veda— Max Müllerʼs Article in JRAS of Great Britain and Ireland, New Series, Vol. 3, No. 1 (1867)
MBh.	Mahābhārata, Calcutta ed., 1834—9
Mitrahymnus	[Hymns to Mitra (and others)]
ms. Chambers 60	Chambers manuscript 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Müller	Max Müllerʼs edition of Rig-Veda
Naigh.	Naighaṇṭukakāṇḍa [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 1— Rudolf Roth, 1852]
Nir.	Nirukta [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 2— Rudolf Roth, 1852]
Oxford Essays	Oxford Essays— Max Müller, 1856
P.	Rig-Veda Padapāṭha
Pad.	Rig-Veda Padapāṭha
Pada	Rig-Veda Padapāṭha
Pada bei Aufr.	Rig-Veda Padapāṭha, Aufrechtʼs edition
Padap.	Rig-Veda Padapāṭha
Padapāṭha	Rig-Veda Padapāṭha
Pauli in Ku. Zeitschr.	Ueber skr. hāridravá— Carl Pauliʼs Article in Kuhnʼs Zeitschrift
Pauli, Körpertheile	Ueber die Benennung der Körpertheile bei den Indogermanen— Carl Pauli, 1867
Pet. Wörtb.	Petersburger (Sanskrit-)Wörterbuch— Böhtlingk und Roth
Pictet in Ku. Zeitschr.	Etymologische forschungen über die älteste arzneikunst bei den Indogermanen.— Adolphe Pictetʼs Article in Kuhnʼs Zeitschrift
Prāt.	(Rig-Veda) Prātiśākhya
Pāṇ.	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
Pāṇini	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
Roth	?? (Roth, in his Nirukta ed. 1852)
Roth Erl. zu Nirukta	Rothʼs Erläuterungen[Rothʼs explanations] zu Nirukta
Roth in Ku.	Etymologien.— Rothʼs Article in Kuhnʼs Zeitschrift
Roth Nir.	Jâskaʼs Nirukta, sammt den Nighaṇṭavas— Rudolf Roth, 1852 [Yāskaʼs Nirukta]
Roth zu Nir.	Roth, in his Nirukta ed. 1852
Rothʼs Erläuterungen	[Rothʼs Erläuterungen zu Nirukta]
RV	Rig-Veda
RV.	Rig-Veda
RV. Pr.	Rig-Veda Prātiśākhya
RV. Prātiś.	Rig-Veda Prātiśākhya
RV. Prātiś. M. M.	Rig-Veda Prātiśākhya, Max Müllerʼs edition
Sonne in Ku.	Charis.— Sonneʼs Article in Kuhnʼs Zeitschrift
Sonne in Ku. Zeitschr.	Sprachliche und mythologische untersuchungen, angeknüpft an Rigveda I, 50.— Sonneʼs Article in Kuhnʼs Zeitschrift
Spr.	Indische Sprüche— Böhtlingk, 1863
SV.	Die Hymnen des Sâma-Veda— Benfey, 1848
SV. gl.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Sāy.	Sāyaṇaʼs Commentary to Rig-Veda
TBr.	Taittirīya Brāhmaṇa— Rajendralala Mitra, 1859—90
Text	Rigveda Saṃhitā Text
TS.	Taittirīya Saṃhitā— Weber, 1871
Verf. Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Verg. Aen.	Aeneid— Vergil
Vop.	Vopadevaʼs Mugdhabodha— Böhtlingk, 1847
VS.	Vājasaneyi Saṃhitā— Weber, 1852
Web. in Ku.	Weberʼs two Articles in Kuhnʼs Zeitschrift
Weber, Ind. St.	Indische Studien— Weber
Zeitschr.	Kuhnʼs Zeitschrift
Śat. Br.	Śatapatha Brāhmaṇa— Weber, 1855
